Units used: mm,,,,,,
,,,,,,
Designator,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
U2,TopLayer,SO23-5,24.575,23.3,0,IC
C8,TopLayer,SMD_CAPACITOR_0402,25.45,21.25,360,Capacitor SMT 0402
C2,TopLayer,SMD_CAPACITOR_0603,25.1752,25.6001,180,Capacitor SMT 0603
C1,TopLayer,SMD_CAPACITOR_0402,22.1252,23.8001,270,Capacitor SMT 0402
R28,TopLayer,SMD_RESISTOR_0402,25.6,14.5,360,Resistor SMT 0402
U1,TopLayer,TSSOP20,16.875,7.42,90,IC
R27,TopLayer,SMD_RESISTOR_0402,19.05,13.05,90,Resistor SMT 0402
U8,TopLayer,SO23-5,27.975,12.05,180,IC
R26,TopLayer,SMD_RESISTOR_0402,29.2,14.5,90,Resistor SMT 0402
R25,TopLayer,SMD_RESISTOR_0402,28.3,14.5,90,Resistor SMT 0402
R24,TopLayer,SMD_RESISTOR_0402,23.2,13.5,360,Resistor SMT 0402
D2,TopLayer,SOD-123,32.1752,9.8502,360,Diode
C28,TopLayer,SMD_CAPACITOR_0402,27.4,14.5,270,Capacitor SMT 0402
C27,TopLayer,SMD_CAPACITOR_1206,32.275,14.35,180,Capacitor SMT 1206
C26,TopLayer,SMD_CAPACITOR_1206,32.275,12.05,180,Capacitor SMT 1206
C25,TopLayer,SMD_CAPACITOR_0603,25.325,11.3,90,Capacitor SMT 0603
U7,TopLayer,SOT23-6,8.05,13.65,180,IC
U6,TopLayer,SOT23-6,8.05,10.15,180,IC
R23,TopLayer,SMD_RESISTOR_0402,19,2.05,180,Resistor SMT 0402
R22,TopLayer,SMD_RESISTOR_0402,19,1.15,360,Resistor SMT 0402
R21,TopLayer,SMD_RESISTOR_0603,12.05,15.35,90,Resistor SMT 0603
R20,TopLayer,SMD_RESISTOR_0603,12.9,12.3,270,Resistor SMT 0603
R19,TopLayer,SMD_RESISTOR_0402,9.1,15.8,180,Resistor SMT 0402
